OID=.1.3.6.1.6.3.16.1.5.2.1.5.6.95.110.111.110.101.95.1.0, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.5.2.1.5.6.95.110.111.110.101.95.1.1, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.5.2.1.5.6.95.110.111.110.101.95.1.2, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.5.2.1.6.5.95.97.108.108.95.1.0, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.5.2.1.6.5.95.97.108.108.95.1.1, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.5.2.1.6.5.95.97.108.108.95.1.2, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.5.2.1.6.6.95.110.111.110.101.95.1.0, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.5.2.1.6.6.95.110.111.110.101.95.1.1, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.5.2.1.6.6.95.110.111.110.101.95.1.2, Type=Integer, Value=1
Total: 273
